label,R,G,B
PURPLE,36,38,69
PURPLE,39,31,69
PURPLE,39,40,48
PURPLE,39,33,60
PINK,141,126,126
PINK,170,127,144
PINK,166,123,141
PINK,176,134,146
PINK,171,126,140
PINK,174,129,143
PINK,176,130,143
PINK,150,131,145
PINK,166,125,141
PINK,169,135,144
WHITE,146,205,224
WHITE,156,199,207
WHITE,155,251,237
WHITE,158,255,236
WHITE,144,225,222
WHITE,146,228,223
WHITE,147,236,226
WHITE,144,224,213
WHITE,152,170,206
WHITE,153,243,219
NOBALL,0,0,0
NOBALL,0,0,0
NOBALL,0,0,0
NOBALL,0,0,0
NOBALL,0,0,0
NOBALL,0,0,0
NOBALL,0,0,0
NOBALL,0,0,0
NOBALL,0,0,0
NOBALL,0,0,0
