RED,91,21,18
RED,85,21,16
RED,110,26,22
RED,107,24,21
RED,89,22,18
RED,80,20,17
RED,103,24,21
RED,78,20,15
RED,90,21,19
RED,86,21,18
ORANGE,213,107,45
ORANGE,238,118,51
ORANGE,188,98,41
ORANGE,245,127,55
ORANGE,203,109,43
ORANGE,223,111,51
ORANGE,210,107,48
ORANGE,196,99,40
ORANGE,195,100,41
ORANGE,195,100,43
YELLOW,190,215,71
YELLOW,217,254,81
YELLOW,142,165,52
YELLOW,146,167,53
YELLOW,197,229,74
YELLOW,145,164,53
YELLOW,192,222,72
YELLOW,150,168,54
YELLOW,149,168,54
YELLOW,197,227,72
GREEN,61,199,69
GREEN,59,199,66
GREEN,50,164,54
GREEN,56,188,62
GREEN,47,137,47
GREEN,49,156,55
GREEN,50,156,55
GREEN,45,137,50
GREEN,54,173,61
GREEN,58,173,70
LIGHT BLUE,11,99,151
LIGHT BLUE,10,103,152
LIGHT BLUE,12,108,157
LIGHT BLUE,10,91,135
LIGHT BLUE,11,101,145
LIGHT BLUE,10,100,147
LIGHT BLUE,9,77,110
LIGHT BLUE,7,72,106
LIGHT BLUE,11,94,136
LIGHT BLUE,9,90,136
DARK BLUE,8,37,73
DARK BLUE,6,33,71
DARK BLUE,5,32,70
DARK BLUE,6,32,70
DARK BLUE,7,41,84
DARK BLUE,8,41,83
DARK BLUE,7,39,81
DARK BLUE,6,36,79
DARK BLUE,8,29,63
DARK BLUE,6,25,52
PURPLE,46,52,89
PURPLE,38,42,77
PURPLE,37,40,74
PURPLE,33,37,58
PURPLE,38,42,77
PURPLE,31,36,59
PURPLE,29,27,53
PURPLE,26,34,64
PURPLE,25,23,45
PURPLE,19,32,47
PINK,139,130,124
PINK,134,109,119
PINK,169,160,147
PINK,135,107,125
PINK,142,134,128
PINK,120,115,110
PINK,171,152,145
PINK,167,155,141
PINK,163,146,142
PINK,161,147,140
WHITE,116,193,200
WHITE,116,191,198
WHITE,117,185,199
WHITE,134,218,220
WHITE,124,189,204
WHITE,144,228,228
WHITE,120,199,205
WHITE,132,203,220
WHITE,124,201,210
WHITE,123,162,191
RED,71,14,11
RED,57,13,10
RED,54,12,10
RED,86,18,17
RED,70,14,13
RED,75,14,12
RED,89,17,12
RED,69,14,11
RED,80,14,12
RED,71,17,14
ORANGE,123,66,27
ORANGE,76,46,22
ORANGE,207,106,46
ORANGE,172,105,39
ORANGE,153,87,31
ORANGE,169,84,34
ORANGE,182,80,35
ORANGE,163,81,33
ORANGE,173,80,37
ORANGE,182,103,45
YELLOW,135,165,55
YELLOW,177,154,51
YELLOW,99,129,45
YELLOW,148,181,48
YELLOW,134,167,58
YELLOW,150,183,61
YELLOW,139,165,63
YELLOW,132,168,53
YELLOW,160,196,55
YELLOW,147,175,57
GREEN,32,121,41
GREEN,33,113,38
GREEN,44,161,54
GREEN,41,116,42
GREEN,24,91,30
GREEN,39,163,45
GREEN,46,159,47
GREEN,39,166,55
GREEN,45,156,53
GREEN,43,154,52
GREEN,24,91,30
GREEN,39,163,45
GREEN,46,159,47
GREEN,39,166,55
GREEN,45,156,53
GREEN,43,154,52
LIGHT BLUE,6,75,113
LIGHT BLUE,8,57,100
LIGHT BLUE,6,78,113
LIGHT BLUE,6,59,109
LIGHT BLUE,5,48,75
LIGHT BLUE,5,65,101
LIGHT BLUE,8,91,124
LIGHT BLUE,5,58,104
LIGHT BLUE,6,58,112
LIGHT BLUE,6,75,125
DARK BLUE,4,26,58
DARK BLUE,4,25,66
DARK BLUE,3,20,49
DARK BLUE,5,35,66
DARK BLUE,3,20,48
DARK BLUE,4,32,64
DARK BLUE,4,32,64
DARK BLUE,3,18,44
DARK BLUE,3,25,55
DARK BLUE,3,21,63
PURPLE,25,31,57
PURPLE,32,25,54
PURPLE,16,23,40
PURPLE,24,24,51
PURPLE,23,29,53
PURPLE,23,28,54
PURPLE,12,19,26
PURPLE,30,27,59
PURPLE,22,23,47
PURPLE,21,28,52
PINK,114,105,107
PINK,110,76,80
PINK,84,82,84
PINK,108,100,102
PINK,115,106,110
PINK,120,110,111
PINK,112,89,100
PINK,72,72,71
PINK,134,123,117
PINK,131,121,116
WHITE,86,137,155
WHITE,83,112,137
WHITE,83,132,150
WHITE,91,139,157
WHITE,92,146,160
WHITE,97,155,170
WHITE,80,109,131
WHITE,91,143,162
WHITE,88,140,158
WHITE,81,118,157
NO BALL,0,0,0
NO BALL,0,0,0
NO BALL,0,0,0
NO BALL,0,0,0
NO BALL,0,1,0
NO BALL,0,1,0
NO BALL,0,2,1
NO BALL,0,0,0
NO BALL,0,0,0
NO BALL,0,0,0
NO BALL,0,0,0
