ROUND #1
14:38:37.743 -> GREEN,45,156,53
14:38:39.121 -> GREEN,43,154,52
14:38:31.933 -> GREEN,24,91,30
14:38:34.757 -> GREEN,39,163,45
14:38:35.867 -> GREEN,46,159,47
14:38:36.819 -> GREEN,39,166,55
14:38:37.743 -> GREEN,45,156,53
14:38:39.121 -> GREEN,43,154,52
14:40:03.023 -> LIGHT BLUE,6,75,113
14:40:03.836 -> LIGHT BLUE,8,57,100
14:40:04.706 -> LIGHT BLUE,6,78,113
14:40:05.538 -> LIGHT BLUE,6,59,109
14:40:06.415 -> LIGHT BLUE,5,48,75
14:40:07.136 -> LIGHT BLUE,5,65,101
14:40:08.311 -> LIGHT BLUE,8,91,124
14:40:09.180 -> LIGHT BLUE,5,58,104
14:40:10.165 -> LIGHT BLUE,6,58,112
14:40:11.152 -> LIGHT BLUE,6,75,125
14:40:40.611 -> DARK BLUE,4,26,58
14:40:41.635 -> DARK BLUE,4,25,66
14:40:42.649 -> DARK BLUE,3,20,49
14:40:43.697 -> DARK BLUE,5,35,66
14:40:44.574 -> DARK BLUE,3,20,48
14:40:45.544 -> DARK BLUE,4,32,64
14:40:46.853 -> DARK BLUE,4,32,64
14:40:49.384 -> DARK BLUE,3,18,44
14:40:50.960 -> DARK BLUE,3,25,55
14:40:52.048 -> DARK BLUE,3,21,63
14:41:38.601 -> PURPLE,25,31,57
14:41:39.371 -> PURPLE,32,25,54
14:41:40.135 -> PURPLE,16,23,40
14:41:41.385 -> PURPLE,24,24,51
14:41:42.100 -> PURPLE,23,29,53
14:41:42.882 -> PURPLE,23,28,54
14:41:43.850 -> PURPLE,12,19,26
14:41:44.701 -> PURPLE,30,27,59
14:41:45.712 -> PURPLE,22,23,47
14:41:46.794 -> PURPLE,21,28,52
14:42:05.664 -> PINK,114,105,107
14:42:07.180 -> PINK,110,76,80
14:42:08.277 -> PINK,84,82,84
14:42:09.645 -> PINK,108,100,102
14:42:10.712 -> PINK,115,106,110
14:42:11.666 -> PINK,120,110,111
14:42:14.163 -> PINK,112,89,100
14:42:17.476 -> PINK,72,72,71
14:42:18.764 -> PINK,134,123,117
14:42:19.672 -> PINK,131,121,116
14:42:42.912 -> WHITE,86,137,155
14:42:45.416 -> WHITE,83,112,137
14:42:46.469 -> WHITE,83,132,150
14:42:47.375 -> WHITE,91,139,157
14:42:48.647 -> WHITE,92,146,160
14:42:54.167 -> WHITE,97,155,170
14:42:55.946 -> WHITE,80,109,131
14:42:57.193 -> WHITE,91,143,162
14:42:58.633 -> WHITE,88,140,158
14:42:59.605 -> WHITE,81,118,157
ROUND #3 DIFF LIGHTING + WITH NO BALL
17:19:55.196 -> NO BALL,0,0,0
17:19:56.955 -> NO BALL,0,0,0
17:19:58.464 -> NO BALL,0,0,0
17:20:00.146 -> NO BALL,0,0,0
17:20:01.753 -> NO BALL,0,1,0
17:20:10.078 -> NO BALL,0,1,0
17:20:11.512 -> NO BALL,0,2,1
17:20:14.018 -> NO BALL,0,0,0
17:20:15.326 -> NO BALL,0,0,0
17:20:16.152 -> NO BALL,0,0,0
17:20:51.121 -> NO BALL,0,0,0
17:20:51.919 -> NO BALL,0,0,0
17:20:52.677 -> NO BALL,0,1,0
17:20:54.003 -> NO BALL,0,0,0
17:20:54.617 -> NO BALL,0,0,0
17:20:55.269 -> NO BALL,0,0,0
17:20:56.657 -> NO BALL,0,0,0
17:20:57.317 -> NO BALL,0,0,0
17:20:58.012 -> NO BALL,0,0,0
17:20:59.284 -> NO BALL,0,3,0
17:21:26.921 -> NO BALL,0,0,0
17:21:28.070 -> NO BALL,0,0,0
17:21:28.866 -> NO BALL,0,0,0
17:21:30.687 -> NO BALL,0,0,0
17:21:31.342 -> NO BALL,0,0,0
17:21:31.943 -> NO BALL,0,0,0
17:21:33.182 -> NO BALL,0,0,0
17:21:33.890 -> NO BALL,0,0,0
17:21:34.561 -> NO BALL,0,1,0
17:21:36.792 -> NO BALL,0,2,1
17:21:54.305 -> RED,62,15,17
17:21:55.297 -> RED,34,14,16
17:21:58.898 -> RED,48,13,14
17:21:59.782 -> RED,79,18,18
17:22:00.579 -> RED,71,18,19
17:22:02.349 -> RED,67,16,17
17:22:02.994 -> RED,66,18,19
17:22:04.451 -> RED,64,14,17
17:22:05.787 -> RED,66,16,17
17:22:07.700 -> RED,68,17,18
17:22:17.898 -> ORANGE,128,67,40
17:22:19.466 -> ORANGE,111,58,34
17:22:20.628 -> ORANGE,135,96,45
17:22:21.490 -> ORANGE,132,75,41
17:22:23.169 -> ORANGE,131,72,41
17:22:25.334 -> ORANGE,134,73,41
17:22:26.343 -> ORANGE,130,85,44
17:22:27.282 -> ORANGE,163,91,45
17:22:27.990 -> ORANGE,129,72,44
17:22:28.755 -> ORANGE,160,72,46
